player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3BwzXv3N,2024,Modbury Soccer Club,Sunday Premier C,3,0,0,0,0,0,0,0,false
1K3BwzXv3N,2025,Modbury Soccer Club,Sportal Sunday Premier C; Premier C,2,1,0,0,1,1,0,0,false
1K3BwzXv3N,2026,Macedonia United Lions Socer Club,Sunday Division Three,2,2,180,0,1,0,0,0,false
1K3BwzXv3N,Winter 2023,Modbury Soccer Club,Sunday Division 6,8,7,560,4,0,0,0,0,false
1K3BwzqE3N,2024,Old Ignatians Soccer Club,Saturday Premier B; Reserve Cup; Saturday Premier C,16,14,1172,1,6,0,0,0,false
1K3BwzqE3N,2025,Old Ignatians Soccer Club,Sportal Saturday Premier C; Premier C; Reserve Cup,18,17,1360,1,2,0,0,0,false
1K3BwzqE3N,2026,Old Ignatians Soccer Club,Sportal Saturday Premier C; C Team Cup; Sportal Saturday Premier B; Saturday Division Seven,15,11,880,0,1,0,0,0,false
1K3BwzqE3N,Winter 2023,Old Ignatians Soccer Club,Saturday Premier C; Reserve Cup; Saturday Premier B,20,15,1433,2,1,0,0,0,false
1K3b4APBNQ,2023,MetroStars,Under 14's JPL A; U14 Carl's Junior Boys Cup,24,21,1850,1,0,0,0,0,false
1K3b4APBNQ,2024,MetroStars,Under 15 Trials; Under 15 JPL A; Under 16 JSL A; U15 Carl's Junior Boys Cup,23,19,1700,0,0,0,0,0,false
1K3b4APBNQ,2025,MetroStars,Nova Under 16's YPL A Mixed; U16 Carl's Jr. Youth Premier Cup,25,23,2155,2,2,0,0,1,true
1K3b4APBNQ,2026,MetroStars,RAA NPL Under 18's; Federation Cup U18's; Under 17's A Mixed; RAA NPL Reserves,22,7,844,2,1,0,0,0,false
1K3b4ARGNQ,2026,Monarchs Sports Club,Trial Matches - C Teams; Saturday Division Six; C Team Cup; Saturday Division Two Reserves,13,6,537,1,0,0,0,0,false
1K3b4ARGNQ,Winter 2023,Monarchs Sports Club,Saturday Division 6,16,9,810,1,0,0,0,0,false
1K3b4kQRNQ,2024,Modbury Jets AFC,Cichanowski Shield; Saturday Premier A; Preseason Matches - Premier & Division 2; Master Builders SA Born to Build Challenge Cup,23,21,1670,34,4,0,0,0,false
1K3b4kQRNQ,2025,Modbury Jets AFC,Cichanowski Shield; Sportal Saturday Premier A,6,6,450,6,0,0,0,0,false
1K3b4kQRNQ,2026,Modbury Jets AFC,Sportal Saturday Premier B; Guardian Insurance Over 35's Blue; Master Builders Born to Build Challenge Cup; Sportal Saturday Premier A,16,6,446,10,0,0,0,0,false
1K3b4kQRNQ,Winter 2023,Modbury Jets AFC,Cichanowski Shield; Saturday Premier A; Challenge Cup,20,20,1551,24,7,1,0,0,false
1K3bBx47NQ,2025,Munno Para,Trial Matches - Reserves; Reserve Cup; Master Builders Born 2 Build Challenge Cup; Sunday Division Three Reserves; Sunday Division Three; Sunday Division Eight,18,12,1079,0,0,0,0,0,false
1K3bBx47NQ,2026,Munno Para,Trial Matches - Reserves; Sunday Division Two Reserves; Sunday Division Six; Reserve Cup,13,10,736,1,0,0,0,0,false
1K3bBx47NQ,Winter 2023,Modbury Jets AFC,Sunday Division 7,3,1,80,0,0,0,0,0,true
1K3bPMZ9NQ,2023,Western Strikers,Under 13's JPL B; U13 Carl's Junior Boys Cup,25,22,1810,3,0,0,0,0,false
1K3bPMZ9NQ,2024,Western Strikers,Under 14 Trials; Under 14 JPL B; U14 Carl's Junior Boys Cup,25,22,2020,3,0,0,0,0,false
1K3bPMZ9NQ,2026,Western Strikers,Nova Under 16's YPL B Mixed; Federation Cup U18's; HPG Homes State League 2 South - Under 18's; HPG Homes State League 2 (18s) Final Series,27,20,2000,4,3,0,0,0,false
1K3bp6bRNQ,2024,Salisbury Inter Soccer Club,Over 35's; Over 35's Cup; Sunday Premier C,9,7,560,0,0,0,0,0,false
1K3bp6bRNQ,2025,Salisbury Inter Soccer Club,Guardian Insurance Brokers Over 35's; Guardian Insurance Brokers Over 35's Cup,11,9,720,1,0,0,0,0,false
1K3bp6bRNQ,2026,Salisbury Inter Soccer Club,Guardian Insurance Over 35's Blue,9,8,640,1,1,0,0,0,false
1K3bp6bRNQ,Winter 2023,Salisbury Inter Soccer Club,Preseason Trial Matches - C Teams (Club Referee); Over 35s Division 2,8,7,560,0,0,0,0,0,false
1K3bprjYNQ,2023,Barossa United,Under 13's JSL C; Under 15's JSL B; U13 Carl's Junior Boys Cup,23,19,1530,2,0,0,0,0,false
1K3bprjYNQ,2024,Barossa United,Under 14 JSL C; U14 Carl's Junior Boys Cup,15,7,560,8,0,0,0,0,false
1K3bprjYNQ,2025,Barossa United,Nova Under 15's YSL C Mixed; U15 Carl's Jr. Youth State Cup,20,20,1900,1,1,0,0,4,true
1K3bprjYNQ,2026,Barossa United,Federation Cup U18's; Federation Cup Reserves; HPG Homes State League 2 North - Under 18's; HPG Homes State League 2 North - Reserves,18,16,1470,0,0,0,0,0,true
1K3bpykLNQ,2024,Adelaide Brasfoot,Preseason Matches - All Reserves; Master Builders SA Born to Build Challenge Cup; Saturday Division 4 A; Saturday Division 4 B,17,13,1067,23,3,0,0,0,false
1K3bpykLNQ,2025,Adelaide Brasfoot,Master Builders Born 2 Build Challenge Cup; Trial Matches - Premier & Division 2; Saturday Division Three Red,13,8,857,6,2,0,0,0,false
1K3bpykLNQ,2026,Adelaide Brasfoot,Saturday Division Six; Saturday Division Two Reserves; C Team Cup; Master Builders Born to Build Challenge Cup; Sportal Saturday Division Two; Guardian Insurance Over 35's Blue,15,9,900,4,1,0,0,2,true
1K3bpykLNQ,Winter 2023,East Adelaide (CSL),Saturday Division 2,12,10,793,6,3,0,0,0,false
1K3bv4nONQ,2024,Seaford Rangers,Preseason Matches - All Reserves; Reserve Cup; Sunday Division 3 B; Sunday Division 3 A,19,17,1547,7,0,0,0,0,false
1K3bv4nONQ,2025,Seaford Rangers,Trial Matches - Division 3 & 4; Master Builders Born 2 Build Challenge Cup; Sunday Division Three Reserves; Sunday Division Three,18,14,1302,9,0,0,0,0,false
1K3bv4nONQ,2026,Seaford Rangers,Trial Matches - Premier A & Division 2A; Reserve Cup; Sunday Division Two Reserves; Sportal Sunday Division Two,19,17,1442,3,0,0,0,0,false
1K3bv4nONQ,Winter 2023,Seaford Rangers,Reserve Cup; Sunday Division 3 Reserves; Sunday Division 6,22,19,1857,5,0,0,0,0,false
1K3bvpyRNQ,2023,Salisbury Inter,Under 15's JSL B; Under 15's JSL A; U15 Carl's Junior Boys Cup,24,15,1340,4,0,0,0,1,true
1K3bvpyRNQ,2024,Para Hills Knights,Under 17 JPL B; Under 16 JPL A; U15 Carl's Junior Boys Cup; Under 15 JPL B; U17 Carl's Junior Boys Cup,29,18,1600,9,0,0,0,0,false
1K3bvpyRNQ,2025,Para Hills Knights,Under 16 Trials; Nova Under 16's YPL B Mixed; U16 Carl's Jr. Youth Premier Cup; Nova Under 17's YPL B Mixed; RAA NPL Under 18's,26,20,1855,21,1,0,0,0,false
1K3bvpyRNQ,2026,Para Hills Knights,RAA NPL Under 18's; Federation Cup U18's; RAA NPL Reserves,25,19,2361,4,0,0,0,0,false
1K3p24O49d,2026,,,0,0,0,0,0,0,0,0,false
1K3p5B7Zod,2025,,,0,0,0,0,0,0,0,0,false
1K3p5B7Zod,2026,Shaheed Bhagat Singh Football Club,Sunday Division Seven,13,9,720,3,1,0,0,0,false
1K3p5J7wYd,2025,Adelaide Atletico,Sunday Division Six; Sunday Division Two Reserves,16,10,883,0,0,0,0,0,false
1K3p5J7wYd,2026,Adelaide Red Blue Eagles Football Club,Saturday Division Six; C Team Cup; Saturday Division Two Reserves,12,8,640,0,1,0,0,0,false
1K3p5MJJod,2025,Plympton FC,Nova Under 16's YSL A Mixed; Under 16 YSL Bottom Half,12,12,1140,25,1,0,0,0,false
1K3p5MJJod,2026,Plympton FC,Federation Cup U18's; Reserves; HPG Homes State League 2 South - Under 18's; Under 17's A Mixed; HPG Homes State League 2 South - Reserves,24,12,1496,10,3,0,0,0,false
1K3p5PQ4od,2025,Grange SC,Sportal Saturday Premier C; Premier C,6,5,400,0,0,0,0,0,false
1K3p5PQ4od,2026,Grange SC,Saturday Division Six,11,8,640,1,0,0,0,0,true
1K3p5PQPYd,2025,W A Raptors Soccer Club,Sunday Division Six,4,0,0,0,0,0,0,0,false
1K3p5PQPYd,2026,W A Raptors Soccer Club,Sunday Division Seven; Sportal Sunday Premier C,9,6,320,1,0,0,0,0,false
1K3p5PYXLd,2025,Munno Para,Sunday Division Eight,14,10,800,1,0,0,0,0,false
1K3p5PYXLd,2026,Munno Para,Sunday Division Six; C Team Cup,5,4,320,0,0,0,0,0,false
1K3p5bW4od,2025,Adelaide Red Blue Eagles Football Club,Sportal Saturday Division Two; Saturday Division Two Reserves,12,9,728,0,2,0,0,0,false
1K3p5bW4od,2026,Adelaide Red Blue Eagles Football Club,Saturday Division Two Reserves; Reserve Cup,11,6,536,1,0,0,0,0,false
1K3p5eV7Ld,2026,Northern Demons,Federation Cup U18's; HPG Homes State League 2 North - Under 18's; Under 15's YSL C Mixed; HPG Homes State League 2 North - Reserves,19,18,1685,1,0,0,0,0,false
